Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2026,1,SS,1380765,SMAP-CIV-274-26 CL 57 152A -173 VEREDA LAS PLAYAS,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 1",5200232
2026,1,SS,1380765,SMAP-CIV-274-26 CL 57 152A -173 VEREDA LAS PLAYAS,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 1",5000263
2026,1,SS,1380765,SMAP-CIV-274-26 CL 57 152A -173 VEREDA LAS PLAYAS,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,5,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 1",5200464
2026,1,SS,1380765,SMAP-CIV-274-26 CL 57 152A -173 VEREDA LAS PLAYAS,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 1",5200217
2026,1,SS,1380765,SMAP-CIV-274-26 CL 57 152A -173 VEREDA LAS PLAYAS,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 1",5200201
2026,1,SS,1380765,SMAP-CIV-274-26 CL 57 152A -173 VEREDA LAS PLAYAS,5200233,"UCAP BRAZO 1"" - 1.5M - 52°/20°",,1,BRAZO 1 - 1.5M - 52°/20°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 1",5200233
2026,2,SS,1380809,VIA - ANDEN CR 97AB CL 64A MOTEROBLE,5020117,UCAP POSTE PRFV 9M (ENTERRAR),1,,POSTE PRFV 9M ENTERRAR,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 2",5020117
2026,2,SS,1380809,VIA - ANDEN CR 97AB CL 64A MOTEROBLE,5200241,UCAP BRAZO CURVO 3000M,1,,BRAZO CURVO 3000M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 2",5200241
2026,2,SS,1380809,VIA - ANDEN CR 97AB CL 64A MOTEROBLE,5000265,LUM LED 130W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 130W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 2",5000265
2026,2,SS,1380809,VIA - ANDEN CR 97AB CL 64A MOTEROBLE,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,7,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 2",5200464
2026,3,SS,1380862,PEDREGAL CL 99 B CR 76,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 3",5200232
2026,3,SS,1380862,PEDREGAL CL 99 B CR 76,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 3",5000263
2026,3,SS,1380862,PEDREGAL CL 99 B CR 76,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 3",5200217
2026,3,SS,1380862,PEDREGAL CL 99 B CR 76,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 3",5200201
2026,3,SS,1380862,PEDREGAL CL 99 B CR 76,5200233,"UCAP BRAZO 1"" - 1.5M - 52°/20°",,1,BRAZO 1 - 1.5M - 52°/20°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 3",5200233
2026,4,SS,1383520,Andén CL 40 CR 86 A 7,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 4",5200231
2026,4,SS,1383520,Andén CL 40 CR 86 A 7,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 4",5000263
2026,5,SS,1388380,BOMBONA #1 CL 47 CR 41 - 20,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 5",5200231
2026,5,SS,1388380,BOMBONA #1 CL 47 CR 41 - 20,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 5",5000263
2026,6,SS,1302758,LA MILAGROSA CL 41 ENTRE LA CR 28 Y 29,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 6",5200231
2026,6,SS,1302758,LA MILAGROSA CL 41 ENTRE LA CR 28 Y 29,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 6",5000263
2026,6,SS,1302758,LA MILAGROSA CL 41 ENTRE LA CR 28 Y 29,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 6",5200419
2026,6,SS,1302758,LA MILAGROSA CL 41 ENTRE LA CR 28 Y 29,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,30,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 6",5200464
2026,7,SS,1311521,Vía Cr 48 A Cl 101 - 18,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",3,3,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 7",5200232
2026,7,SS,1311521,Vía Cr 48 A Cl 101 - 18,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,3,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 7",5000263
2026,7,SS,1311521,Vía Cr 48 A Cl 101 - 18,5200217,UCAP LUMINARIA 70W,,3,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 7",5200217
2026,7,SS,1311521,Vía Cr 48 A Cl 101 - 18,5200201,UCAP BOMBILLO 70W,,3,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 7",5200201
2026,8,SS,1380697,SMAP-CIV-248-26 CR 63 CL 91 -92,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",1,,BRAZO 1 1/2 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 8",5200235
2026,8,SS,1380697,SMAP-CIV-248-26 CR 63 CL 91 -92,5000264,"LUM LED 62,4W ASIMÉTRICA 4000K HORIZONTAL",1,,LUM LED 62 4W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 8",5000264
2026,8,SS,1380697,SMAP-CIV-248-26 CR 63 CL 91 -92,5200219,UCAP LUMINARIA 250W,,1,LUMINARIA 250W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 8",5200219
2026,8,SS,1380697,SMAP-CIV-248-26 CR 63 CL 91 -92,5200203,UCAP BOMBILLO 250W,,1,BOMBILLO 250W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 8",5200203
2026,8,SS,1380697,SMAP-CIV-248-26 CR 63 CL 91 -92,5200236,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/20°",,1,BRAZO 1 1/2 - 1.5M - 52°/20°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 8",5200236
2026,9,SS,1383549,Sendero peatonal CL 59 A CR 131 -18 INTERIOR 201,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 9",5200231
2026,9,SS,1383549,Sendero peatonal CL 59 A CR 131 -18 INTERIOR 201,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 9",5000263
2026,10,SS,1387682,Sendero Peatonal CL 34 B CR 115 A -250 (INTERIOR 158),5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 10",5200231
2026,10,SS,1387682,Sendero Peatonal CL 34 B CR 115 A -250 (INTERIOR 158),5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,9,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 10",5200464
2026,10,SS,1387682,Sendero Peatonal CL 34 B CR 115 A -250 (INTERIOR 158),5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",,1,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 10",5200232
2026,11,SS,1388248,Andén CL 43 CL 43 CR 90 A -6 (INTERIOR 201),5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 11",5200231
2026,11,SS,1388248,Andén CL 43 CL 43 CR 90 A -6 (INTERIOR 201),5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 11",5000263
2026,12,SS,1388715,Andén - CL 38 CL 38 CR 91 A -4,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 12",5200231
2026,12,SS,1388715,Andén - CL 38 CL 38 CR 91 A -4,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 12",5000263
2026,12,SS,1388715,Andén - CL 38 CL 38 CR 91 A -4,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,12,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 12",5200464
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",2,,BRAZO 1 1/2 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5200235
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5000265,LUM LED 130W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 130W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5000265
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5200308
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,23,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5200464
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5200217
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5200201
2026,13,SS,1389867,Vía y Andén SMAP-CIV-291-26 Cr 91 C Cl 64 B,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",,1,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 13",5200232
2026,14,SS,1390236,EL POBLADO CL 8 entre 39 y 38,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 14",5200231
2026,14,SS,1390236,EL POBLADO CL 8 entre 39 y 38,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 14",5000263
2026,15,SS,1392921,Andén CL 38C CL 38 C CR 92 A -49,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 15",5200231
