Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5090209,PUESTA A TIERRA,4,,PUESTA A TIERRA,"Tabla 1 al 331_2026.pdf, pagina 1",5090209
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",133,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 1",5200407
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200418,UCAP POSTE PRFV 18M (ENTERRAR),4,,POSTE PRFV 18M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 1",5200418
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200403,"PROYEC LED 168W TIPO V MEDIA (MEDIUM ""M"") 5000K",96,,PROYEC LED 168W TIPO V MEDIA MEDIUM M 5000K,"Tabla 1 al 331_2026.pdf, pagina 1",5200403
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200127,UCAP PROY. 1000W.,,24,PROY 1000W,"Tabla 1 al 331_2026.pdf, pagina 1",5200127
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200214,UCAP BOMBILLO 1000W,,24,BOMBILLO 1000W,"Tabla 1 al 331_2026.pdf, pagina 1",5200214
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200304,UCAP POSTE CONCRETO REDONDO 12M,,6,POSTE CONCRETO REDONDO 12M,"Tabla 1 al 331_2026.pdf, pagina 1",5200304
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200409,"UCAP TRIPLEX AL 2X1/0+1X2 XLP,AEREO",,136,TRIPLEX AL 2X1/0+1X2 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 1",5200409
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,,Cruceta 3600 mm,16,,CRUCETA 3600 MM,"Tabla 1 al 331_2026.pdf, pagina 1",SIN CODIGO|CRUCETA 3600 MM
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,,Cruceta 1500 mm,,12,CRUCETA 1500 MM,"Tabla 1 al 331_2026.pdf, pagina 1",SIN CODIGO|CRUCETA 1500 MM
2026,1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,,Punta captadora Franklin,4,,PUNTA CAPTADORA FRANKLIN,"Tabla 1 al 331_2026.pdf, pagina 1",SIN CODIGO|PUNTA CAPTADORA FRANKLIN
2026,2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 2",5200270
2026,2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200231,"BR 1"" - 0.4M - 0°",1,,BR 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 2",5200231
2026,2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200464,Cable Cu encauchetado 3X14 AWG,15,,CABLE CU ENCAUCHETADO 3X14 AWG,"Tabla 1 al 331_2026.pdf, pagina 2",5200464
2026,2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200419,Poste PRFV 8m (Enterrar),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 2",5200419
2026,3,SN,1088457,SMAP-CIL-0022-25 CARRERA 43 N° 11 28,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 3",5200270
2026,3,SN,1088457,SMAP-CIL-0022-25 CARRERA 43 N° 11 28,5200231,"BR 1"" - 0.4M - 0°",1,,BR 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 3",5200231
2026,3,SN,1088457,SMAP-CIL-0022-25 CARRERA 43 N° 11 28,5200464,Cable Cu encauchetado 3X14 AWG,12,,CABLE CU ENCAUCHETADO 3X14 AWG,"Tabla 1 al 331_2026.pdf, pagina 3",5200464
2026,4,SS,1111246,Sendero Vereda el Corazón,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 4",5200231
2026,4,SS,1111246,Sendero Vereda el Corazón,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 4",5200270
2026,5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 5",5200231
2026,5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 5",5200270
2026,5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 5",5200419
2026,5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,13,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 5",5200464
2026,6,SS,1128468,Sendero Cr 92 A Cl 78 B - 124,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 6",5200231
2026,6,SS,1128468,Sendero Cr 92 A Cl 78 B - 124,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 6",5200232
2026,6,SS,1128468,Sendero Cr 92 A Cl 78 B - 124,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 6",5200270
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",3,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 7",5200232
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200270,LUM LED (KORELED) 44W,3,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 7",5200270
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",47,37,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 7",5200407
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 7",5200419
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200218,UCAP LUMINARIA 150W,,4,LUMINARIA 150W,"Tabla 1 al 331_2026.pdf, pagina 7",5200218
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200202,UCAP BOMBILLO 150W,,4,BOMBILLO 150W,"Tabla 1 al 331_2026.pdf, pagina 7",5200202
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",,4,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 7",5200235
2026,7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200301,UCAP POSTE CONCRETO REDONDO 9M.,,1,POSTE CONCRETO REDONDO 9M,"Tabla 1 al 331_2026.pdf, pagina 7",5200301
2026,8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 8",5200231
2026,8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200270,LUM LED (KORELED) 44W,3,2,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 8",5200270
2026,8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 8",5200419
2026,8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,12,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 8",5200464
2026,8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",,2,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 8",5200232
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200270,LUM LED (KORELED) 44W,23,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 9",5200270
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200302,UCAP POSTE CONCRETO CARABOBO 5M,23,,POSTE CONCRETO CARABOBO 5M,"Tabla 1 al 331_2026.pdf, pagina 9",5200302
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200420,UCAP CABLE 3X8 AWG (ENCAUCHETADO) CANAL EXIST.,8,,CABLE 3X8 AWG ENCAUCHETADO CANAL EXIST,"Tabla 1 al 331_2026.pdf, pagina 9",5200420
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,138,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 9",5200464
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200501,UCAP CAJA CONCRETO 50X50 CM,5,,CAJA CONCRETO 50X50 CM,"Tabla 1 al 331_2026.pdf, pagina 9",5200501
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200238,BRAZO CARABOBO SENCILLO,23,,BRAZO CARABOBO SENCILLO,"Tabla 1 al 331_2026.pdf, pagina 9",5200238
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200324,UCAP METÁLICO CIRCULAR 6M (BASE),,25,METALICO CIRCULAR 6M BASE,"Tabla 1 al 331_2026.pdf, pagina 9",5200324
2026,9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5000254,UCAP LUMINARIA LED 50W FIJACIÓN VERTICAL,,4,LUMINARIA LED 50W FIJACION VERTICAL,"Tabla 1 al 331_2026.pdf, pagina 9",5000254
2026,10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5020117,UCAP POSTE PRFV 9M (ENTERRAR),2,,POSTE PRFV 9M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 10",5020117
